ip_address,abuse_confidence_score,country_code,last_reported_at,country_name,continent,reported_date,reported_year,reported_month,reported_day,reported_hour,reported_weekday,label,risk_level,severity,time_zone_attack
213.177.179.113,100,NL,2026-04-17 18:03:45+00:00,Netherlands,Europe,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
172.94.9.48,100,NL,2026-04-17 18:03:45+00:00,Netherlands,Europe,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
171.25.158.73,100,SE,2026-04-17 18:03:45+00:00,Sweden,Europe,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
213.209.159.235,100,DE,2026-04-17 18:03:45+00:00,Germany,Europe,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
163.53.168.23,100,CN,2026-04-17 18:03:45+00:00,China,Asia,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
162.240.167.229,100,US,2026-04-17 18:03:45+00:00,United States,North America,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
185.93.89.128,100,NL,2026-04-17 18:03:45+00:00,Netherlands,Europe,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
109.123.240.147,100,FR,2026-04-17 18:03:45+00:00,France,Europe,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
77.235.253.40,100,SE,2026-04-17 18:03:45+00:00,Sweden,Europe,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
111.59.125.171,100,CN,2026-04-17 18:03:45+00:00,China,Asia,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
77.90.185.48,100,LT,2026-04-17 18:03:45+00:00,Lithuania,Europe,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
178.160.229.255,100,AM,2026-04-17 18:03:45+00:00,Unknown,Unknown,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
38.165.24.226,100,US,2026-04-17 18:03:45+00:00,United States,North America,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
151.237.115.208,100,BG,2026-04-17 18:03:45+00:00,Unknown,Unknown,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
87.229.95.144,100,NL,2026-04-17 18:03:45+00:00,Netherlands,Europe,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
165.154.6.86,100,HK,2026-04-17 18:03:45+00:00,Hong Kong,Asia,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
103.172.236.241,100,VN,2026-04-17 18:16:55+00:00,Vietnam,Asia,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
143.110.238.236,100,US,2026-04-17 18:16:55+00:00,United States,North America,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
3.6.172.32,100,IN,2026-04-17 18:16:55+00:00,India,Asia,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
2.57.122.197,100,RO,2026-04-17 18:16:55+00:00,Romania,Europe,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
178.178.222.57,100,RU,2026-04-17 18:16:55+00:00,Russia,Europe/Asia,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
187.212.38.18,100,MX,2026-04-17 18:16:56+00:00,Mexico,North America,2026-04-17,2026,4,17,18,Friday,Malicious,Critical,4,Evening
